timestamp,price_usd,volume_usd
1771535034242,0.0000061302744656085665,38325706.03654198
1771538456300,0.000006118511308122478,37603967.25073037
1771542217945,0.000006119418286777766,37666333.596007876
1771545757488,0.00000615317189684575,37770631.11441666
1771549328792,0.000006188811846754883,38781586.62385728
1771552933037,0.000006192861957459741,37626329.2007759
1771556440759,0.000006186133247444138,37966576.84023707
1771560129352,0.000006170752856292383,38834335.940568924
1771563766719,0.000006126798942969185,37909691.46241883
1771567408157,0.000006180683912493289,38578938.65831533
1771570980608,0.000006195851225016063,38451552.894906685
1771574567353,0.000006169115012708927,39380770.56222046
1771578020015,0.000006195672135702127,38281290.3958243
1771581776189,0.0000062613660515396,39073410.57930551
1771585359478,0.0000062699484713572786,40056825.528504
1771588988518,0.000006229335072303044,40881154.65665788
1771592596942,0.000006204407727341183,41333374.21996345
1771596085222,0.000006097881712317659,42585437.09670895
1771599787007,0.000006185948185592504,44012474.11009277
1771603246178,0.000006320102496660926,49301583.95545924
1771606879718,0.000006350889489427732,49149106.94925997
1771610483994,0.000006400744990148473,54247887.62834891
1771614079126,0.000006417193766204301,55354278.21744974
1771617760748,0.000006375909219022227,53951920.94743363
1771621427645,0.000006383086013218747,54229623.603681654
1771624986853,0.000006379003442803907,55413040.88088431
1771628446803,0.000006390126684931947,54388657.20726794
1771632090422,0.000006423747483346845,54692224.41971961
1771635669834,0.000006382445897285569,53231178.64532807
1771639361907,0.000006433379948846278,53735990.46901
1771642943551,0.000006448336466342717,53553779.32738616
1771646581928,0.000006401630880825909,52401298.14952047
1771650128793,0.000006404443452773736,52730357.93906758
1771653709963,0.000006410849781510717,52137875.4251739
1771657318171,0.000006390468611167743,51693659.51863485
1771660945715,0.0000064149584604123815,51473427.21800326
1771664554952,0.000006444037625621051,51612218.13309684
1771668151044,0.000006468534905366389,51325563.68915984
1771671749773,0.0000064619252411534,50373920.441653855
1771675337083,0.000006478353479289784,50037932.89610125
1771678834332,0.000006410409454846533,50021243.62124767
1771682545738,0.0000064368623871529676,46405191.32235316
1771686156038,0.000006426138128495272,44445535.99394117
1771689638800,0.000006382891271901464,40925279.0262585
1771693427969,0.000006336879274861556,38334377.762536004
1771696841155,0.00000634139386044681,34329457.24110927
1771700604972,0.000006355741838958214,32139392.325554203
1771704164343,0.000006338799975451106,31437067.17109406
1771707799185,0.000006309769813020692,31320230.612219762
1771711343586,0.00000632463154402164,30367604.25680409
1771714911044,0.000006288891495345995,30309136.00288972
1771718543196,0.0000062783945480401934,29777309.220903948
1771722192346,0.000006221943965102115,29511153.499423206
1771725777577,0.000006246000886411071,30099437.139020007
