timestamp,price_usd,volume_usd
1771535008772,0.2163223867626671,60241242.374083
1771538461195,0.2164341860998848,58724852.5784545
1771542203764,0.21621678094634145,58692775.83123991
1771545762163,0.2165411302130755,61153150.93539023
1771549216217,0.21866999255403463,61243177.15377813
1771552815190,0.21930973486683017,60004377.01921364
1771556415453,0.2192214333302249,59969743.14903622
1771560135293,0.2186001392358492,59813854.28323889
1771563743975,0.21652771900143838,59077553.382013805
1771567339790,0.21817049531463034,59939145.42591479
1771570919882,0.21856435938777063,60312399.60424233
1771574603802,0.2184607694458644,60317447.7482696
1771578183837,0.21927312907382565,59194759.25033403
1771581761123,0.2203682480407016,59712487.05839985
1771585407418,0.22086113875995195,59627413.91449788
1771588967947,0.21867970456753988,59758489.1353256
1771592609007,0.2180620764846405,60138295.98657406
1771596154143,0.21459855903718306,61715662.828938514
1771599809366,0.2185092974864186,62435073.26478769
1771603412726,0.22388617328714497,67243815.35904454
1771606833833,0.22447548871535844,67419730.78119476
1771610434952,0.22556111523826625,70339114.22007121
1771614039923,0.22558307315920656,74184618.33658186
1771617631969,0.22414055700073265,74314077.56531934
1771621244020,0.22437675835016085,74655579.8199754
1771624835815,0.22467780490543873,75055382.65865366
1771628434784,0.22539397061702654,75822791.49669318
1771632035142,0.22558674009145308,72941695.31236385
1771635631867,0.22465712399142862,72444003.03933536
1771639240798,0.22545716712817865,72361608.35378854
1771642829496,0.2262301188084869,73071509.8738863
1771646440954,0.22480688252288977,73636092.25094967
1771650035894,0.22616083676527296,73233006.64453839
1771653634343,0.22599420274690415,71639836.41378753
1771657232490,0.22519367446868882,70124688.38570975
1771660830834,0.22523405218458034,70057172.65728346
1771664501512,0.22657115896148078,70449637.4402421
1771668117982,0.2276961879332838,70281257.24680562
1771671713621,0.22651846066942632,69551904.1619451
1771675311826,0.22665355693372843,69000273.30894622
1771678898241,0.22561012787873438,67381336.85115701
1771682518995,0.22678880420813288,63567309.396050006
1771686123185,0.2272582024299073,61090242.48076617
1771689720557,0.22562358888724,54499428.94114884
1771693343462,0.2243028304371708,51513802.023341484
1771696953637,0.22467064246510834,47079669.783710845
1771700618615,0.22477937726968622,42033996.0563548
1771704228771,0.2240064512204727,41765358.929569766
1771707820079,0.2223342203327896,41323923.75754655
1771711411876,0.22254451980431406,41599796.251776315
1771715032182,0.22220158014007166,40513867.65386909
1771718555741,0.22148391347970628,39941403.088385895
1771722186185,0.2198718464407806,40365149.34278087
1771725631920,0.22049941235960732,40508037.18074123
